SalesID,Product Name,Product Category,Sales Date,Sales Amount,Quantity Sold,Region,Customer ID,Customer Segment,SalesRep ID,Discount Applied,Cost Of Goods Sold,Sales Channel,Inventory Status,Return Status,Customer Feedback,Customer assessment of Sales Rep,Feedback Category
15,Car Battery,Automotive,,85.0,1.0,Not Specified,,Retail,REP005,0.05,70,Not Specified,Not Specified,Not Specified,No Feedback,Neutral,No Feedback
16,External Hard Drive,Electronics,2023-05-11,115.0,3.0,Latin America,CUST1022,Wholesale,REP009,0.08,90,Online Direct,Low Stock,No Return,Do not recommend,Positive,Customer Service
17,Gourmet Coffee Beans,Groceries,2023-01-26,32.0,4.0,Asia Pacific,CUST1055,Subscription,REP010,0.12,25,Marketplace,Low Stock,Pending Return,Arrived late,Negative,Delivery Issues
18,Cordless Drill,Tools & Home Improvement,2023-02-22,130.0,5.0,Europe,CUST1065,Online Direct,REP003,0.1,100,Retail,Out of Stock,No Return,Delays in delivery,Neutral,Delivery Issues
19,Smartwatch,Electronics,2024-03-24,140.0,3.0,North America,CUST1086,Retail,REP010,0.15,110,Marketplace,Low Stock,Pending Return,Nice experience,Neutral,Experience with Purchase
20,Hardcover Novel,Books & Media,2023-02-25,24.0,5.0,Middle East & Africa,CUST1039,Wholesale,REP007,0.05,20,Wholesale,Low Stock,Returned,Missing accessories,Positive,Product Description Accuracy
21,VR Headset,Wearables,2024-07-16,260.0,1.0,Europe,CUST1094,Retail,REP002,0.08,200,Marketplace,Out of Stock,No Return,Very satisfied,Negative,Product Quality
22,Electric Shaver,Health & Beauty,2024-03-22,65.0,1.0,North America,CUST1044,Online Direct,REP001,0.1,50,Retail,Out of Stock,Returned,Mislabelled,Positive,Product Description Accuracy
23,Ergonomic Chair,Office Supplies,2023-09-30,195.0,1.0,Not Specified,CUST1091,Retail,REP004,0.12,150,Marketplace,Out of Stock,No Return,Mislabelled,Negative,Product Description Accuracy
24,Baby Monitor,Baby Products,,105.0,5.0,Not Specified,,Subscription,REP002,0.07,80,Not Specified,Not Specified,Not Specified,No Feedback,Positive,No Feedback
25,Smart Refrigerator,Home Appliances,2024-07-12,1040.0,3.0,Europe,CUST1046,Wholesale,REP010,0.1,800,Retail,Low Stock,Returned,Do not recommend,Postive,Customer Service
26,Fitness Tracker,Wearables,2024-07-11,90.0,1.0,Asia Pacific,CUST1003,Online Direct,REP004,0.08,70,Marketplace,Out of Stock,Returned,Not worth the money,Neutral,Product Quality
27,Diamond Necklace,Jewelry,2023-10-03,650.0,1.0,Europe,CUST1059,Retail,REP008,0.2,500,Marketplace,In Stock,Pending Return,Too expensive,Positive,Product Quality
28,Tire Set,Automotive,,260.0,4.0,Not Specified,,Online Direct,REP006,0.12,200,Not Specified,Not Specified,Not Specified,No Feedback,Negative,No Feedback
29,Gaming Console,Electronics,2023-07-23,390.0,3.0,Middle East & Africa,CUST1026,Subscription,REP006,0.15,300,Online Direct,Out of Stock,Returned,Great product,Neutral,Product Quality
30,Silk Scarf,Fashion,2023-02-07,50.0,1.0,North America,CUST1026,Retail,REP001,0.1,40,Retail,Out of Stock,Returned,Could be better,Neutral,Product Quality
31,Washing Machine,Home Appliances,2024-06-30,520.0,1.0,Latin America,CUST1033,Wholesale,REP009,0.07,400,Wholesale,Out of Stock,Returned,Nice experience,Positive,Experience with Purchase
32,Running Shoes,Sports & Outdoors,2023-05-17,75.0,5.0,Europe,CUST1045,Online Direct,REP010,0.08,60,Marketplace,In Stock,No Return,Top notch,Negative,Product Quality
33,Cotton T-Shirt,Fashion,2024-06-17,20.0,2.0,Latin America,CUST1068,Retail,REP008,0.05,15,Online Direct,Out of Stock,Pending Return,Fast delivery,Positive,Delivery Issues
34,Electric Guitar,Musical Instruments,2023-09-08,195.0,1.0,Latin America,CUST1091,Online Direct,REP007,0.12,150,Online Direct,In Stock,Pending Return,Terrible support,Negative,Customer Service
35,DSLR Camera,Electronics,2023-05-24,780.0,5.0,Latin America,CUST1091,Wholesale,REP006,0.08,600,Wholesale,Low Stock,Returned,Very satisfied,Positive,Product Quality
36,Rowing Machine,Fitness Equipment,2023-02-26,325.0,2.0,North America,CUST1072,Subscription,REP005,0.1,250,Marketplace,In Stock,Pending Return,Nice experience,Postive,Experience with Purchase
37,Smart Doorbell,Home Security,2023-08-23,85.0,2.0,Latin America,CUST1029,Retail,REP001,0.06,70,Retail,Out of Stock,Returned,Poor packaging,Neutral,Product Quality
38,Bluetooth Headphones,Electronics,2023-11-25,50.0,4.0,Asia Pacific,CUST1028,Online Direct,REP008,0.1,40,Marketplace,Low Stock,Returned,Not worth the money,Positive,Product Quality
39,Gaming Laptop,Electronics,2023-07-06,1500.0,3.0,Europe,CUST1092,Retail,REP008,0.12,1200,Wholesale,In Stock,Pending Return,Excellent quality,Negative,Product Quality
40,Wi-Fi Router,Electronics,2023-10-30,75.0,4.0,Asia Pacific,CUST1027,Wholesale,REP002,0.05,60,Retail,Out of Stock,Returned,Could be better,Neutral,Product Quality
41,Designer Jeans,Fashion,2024-06-16,100.0,4.0,Europe,CUST1020,Online Direct,REP008,0.15,80,Online Direct,Out of Stock,Pending Return,Terrible support,Neutral,Customer Service
42,Hair Dryer,Health & Beauty,2024-07-09,38.0,4.0,Europe,CUST1100,Retail,REP006,0.07,30,Marketplace,Low Stock,Returned,Very fast service,Positive,Experience with Purchase
43,Anti-Aging Cream,Health & Beauty,2023-09-30,50.0,4.0,Europe,CUST1035,Wholesale,REP010,0.08,40,Wholesale,Out of Stock,Returned,Do not recommend,Negative,Customer Service
44,Brake Pads,Automotive Parts,,65.0,4.0,Not Specified,,Online Direct,REP010,0.1,50,Not Specified,Not Specified,Not Specified,No Feedback,Positive,No Feedback
45,Organic Honey,Groceries,2023-08-17,26.0,2.0,Europe,CUST1050,Retail,REP008,0.06,20,Retail,Out of Stock,No Return,Fantastic experience,Negative,Experience with Purchase
46,Digital Camera,Electronics,2023-04-09,520.0,5.0,Middle East & Africa,CUST1027,Online Direct,REP003,0.12,400,Online Direct,In Stock,Returned,Fast delivery,Positive,Delivery Issues
47,Camping Tent,Sports & Outdoors,2023-07-20,130.0,2.0,North America,CUST1083,Wholesale,REP001,0.08,100,Retail,In Stock,No Return,Mislabelled,Postive,Product Description Accuracy
48,LED Lights,Home Décor,2023-02-01,30.0,1.0,Europe,CUST1030,Retail,REP006,0.1,25,Retail,Out of Stock,Returned,Will shop again,Neutral,Customer Service
49,Smart Thermostat,Electronics,2023-04-05,90.0,5.0,North America,CUST1038,Subscription,REP001,0.15,70,Online Direct,Out of Stock,Returned,Terrible support,Positive,Customer Service
50,Coffee Maker,Home Appliances,2024-01-19,50.0,5.0,Latin America,CUST1005,Online Direct,REP007,0.05,40,Online Direct,Out of Stock,Returned,Great product,Negative,Product Quality
51,Fitness Tracker,Wearables,2024-08-10,90.0,4.0,Europe,CUST1100,Retail,REP003,0.12,70,Marketplace,In Stock,Pending Return,Excellent quality,Neutral,Product Quality
52,Leather Jacket,Fashion,2023-07-05,130.0,2.0,North America,CUST1066,Wholesale,REP002,0.1,100,Retail,Low Stock,No Return,I love it,Neutral,Experience with Purchase
53,Noise-Canceling Headphones,Electronics,2024-02-19,90.0,4.0,Middle East & Africa,CUST1093,Online Direct,REP002,0.08,70,Marketplace,Low Stock,Returned,I love it,Positive,Experience with Purchase
54,Crib,Baby Products,,325.0,5.0,Not Specified,,Retail,REP008,0.05,250,Not Specified,Not Specified,Not Specified,No Feedback,Negative,No Feedback
55,Car Stereo,Automotive,,200.0,5.0,Not Specified,,Subscription,REP007,0.1,150,Not Specified,Not Specified,Not Specified,No Feedback,Positive,No Feedback
56,Smartwatch,Electronics,2024-03-03,145.0,4.0,North America,CUST1076,Wholesale,REP001,0.12,110,Online Direct,In Stock,No Return,Would buy again,Negative,Value for Money
57,eBook Reader,Books & Media,2023-10-13,75.0,4.0,Not Specified,CUST1037,Online Direct,REP007,0.15,60,Wholesale,Low Stock,Returned,Item as described,Positive,Product Description Accuracy
58,Electric Toothbrush,Health & Beauty,2024-03-23,50.0,4.0,Not Specified,CUST1098,Retail,REP006,0.07,40,Retail,Low Stock,No Return,Nice experience,Postive,Experience with Purchase
59,4K Monitor,Electronics,2023-08-10,390.0,2.0,Middle East & Africa,CUST1082,Subscription,REP005,0.1,300,Marketplace,In Stock,No Return,Not recommended,Neutral,Value for Money
60,Yoga Mat,Sports & Outdoors,2024-07-30,32.0,2.0,Latin America,CUST1021,Retail,REP006,0.05,25,Wholesale,Out of Stock,No Return,Very fast service,Positive,Experience with Purchase
61,Winter Coat,Fashion,2023-03-01,150.0,2.0,Middle East & Africa,CUST1055,Wholesale,REP006,0.08,120,Online Direct,In Stock,Returned,Would buy again,Negative,Value for Money
62,Smart Light Bulbs,Electronics,2024-05-19,20.0,5.0,Latin America,CUST1045,Online Direct,REP005,0.06,15,Online Direct,Out of Stock,No Return,Too expensive,Neutral,Product Quality
63,Robot Vacuum,Home Appliances,2023-04-22,325.0,4.0,Middle East & Africa,CUST1075,Subscription,REP008,0.12,250,Marketplace,Low Stock,No Return,Very satisfied,Neutral,Product Quality
64,Lawn Mower,Tools & Home Improvement,2023-10-17,260.0,4.0,North America,CUST1079,Retail,REP009,0.1,200,Online Direct,Out of Stock,Returned,Not as described,Positive,Product Description Accuracy
65,Printer,Office Supplies,2023-10-28,160.0,4.0,North America,CUST1015,Wholesale,REP004,0.07,120,Retail,Out of Stock,Pending Return,Very fast service,Negative,Experience with Purchase
66,Sunglasses,Fashion,2023-11-15,65.0,4.0,Latin America,CUST1063,Online Direct,REP009,0.1,50,Retail,Low Stock,Pending Return,Not recommended,Positive,Value for Money
67,Wool Sweater,Fashion,2023-01-23,80.0,4.0,North America,CUST1057,Retail,REP006,0.12,60,Wholesale,Low Stock,No Return,Too expensive,Negative,Product Quality
68,Body Lotion,Health & Beauty,2024-03-17,32.0,1.0,Middle East & Africa,CUST1075,Wholesale,REP010,0.05,25,Wholesale,In Stock,Returned,Great product,Positive,Product Quality
69,Video Doorbell,Electronics,2023-08-29,90.0,4.0,North America,CUST1056,Online Direct,REP003,0.08,70,Wholesale,In Stock,Pending Return,Quick shipping,Postive,Delivery Issues
70,Soundbar,Electronics,2024-07-20,195.0,3.0,Europe,CUST1056,Subscription,REP001,0.1,150,Marketplace,Low Stock,Returned,Satisfied with my purchase,Neutral,Experience with Purchase
71,Microwave Oven,Home Appliances,2023-07-17,130.0,4.0,Middle East & Africa,CUST1028,Retail,REP010,0.07,100,Wholesale,In Stock,No Return,Not worth the money,Positive,Product Quality
72,Portable Charger,Electronics,2023-04-23,26.0,4.0,North America,CUST1018,Wholesale,REP007,0.06,20,Online Direct,In Stock,No Return,Poor packaging,Negative,Product Quality
73,High Chair,Baby Products,,130.0,3.0,Not Specified,,Online Direct,REP002,0.08,100,Not Specified,Not Specified,Not Specified,No Feedback,Neutral,No Feedback
74,Children's Book,Books & Media,2024-04-22,19.0,3.0,Latin America,CUST1046,Retail,REP006,0.05,15,Online Direct,Out of Stock,No Return,Arrived late,Neutral,Delivery Issues
75,Action Camera,Electronics,2024-06-11,260.0,1.0,Europe,CUST1008,Subscription,REP004,0.12,200,Online Direct,Low Stock,No Return,Exceeds expectations,Positive,Value for Money
76,Denim Jacket,Fashion,2024-02-02,115.0,2.0,North America,CUST1015,Wholesale,REP003,0.1,90,Retail,Low Stock,No Return,Quick shipping,Negative,Delivery Issues
77,Activity Tracker,Wearables,2023-06-06,100.0,3.0,Europe,CUST1060,Online Direct,REP006,0.1,80,Marketplace,Low Stock,No Return,Could be better,Positive,Product Quality
78,Bluetooth Speaker,lectronics,2023-08-04,25.0,4.0,Middle East & Africa,CUST1005,Retail,REP003,0.15,20,Retail,In Stock,Pending Return,Not recommended,Negative,Value for Money
79,Leather Boots,Fashion,2023-02-27,120.0,4.0,Middle East & Africa,CUST1087,Retail,REP009,0.05,80,Marketplace,Out of Stock,No Return,Satisfied with my purchase,Positive,Experience with Purchase
80,Air Purifier,Home Appliances,2023-10-18,65.0,5.0,Middle East & Africa,CUST1035,Wholesale,REP007,0.08,50,Marketplace,Out of Stock,No Return,Excellent quality,Postive,Product Quality
81,Treadmill,Sports & Outdoors,2024-05-04,390.0,1.0,North America,CUST1096,Subscription,REP009,0.12,300,Retail,Low Stock,Returned,Do not recommend,Neutral,Customer Service
82,Wireless Earbuds,Electronics,2023-03-31,32.0,4.0,Middle East & Africa,CUST1073,Retail,REP001,0.07,25,Marketplace,Low Stock,Pending Return,Damaged on arrival,Positive,Product Quality
83,Organic Almonds,Groceries,2023-02-09,19.0,2.0,Not Specified,CUST1045,Retail,REP001,0.1,15,Online Direct,In Stock,Pending Return,Will return,Negative,Customer Service
84,Smartwatch,Wearables,2023-03-19,130.0,3.0,Europe,CUST1010,Online Direct,REP010,0.06,100,Marketplace,In Stock,Pending Return,Fast delivery,Neutral,Delivery Issues
85,4K Ultra HD TV,Electronics,2024-03-31,650.0,1.0,North America,CUST1077,Wholesale,REP010,0.14,500,Retail,In Stock,Pending Return,Good value for money,Neutral,Product Quality
86,Skincare Set,Health & Beauty,2023-06-21,80.0,1.0,Latin America,CUST1019,Subscription,REP007,0.09,60,Retail,Out of Stock,Returned,Very satisfied,Positive,Product Quality
87,Wall Art,Home Décor,2024-08-30,38.0,2.0,Asia Pacific,CUST1060,Online Direct,REP006,0.2,30,Wholesale,Out of Stock,Returned,Delays in delivery,Negative,Delivery Issues
88,Designer Handbag,Fashion,2024-04-14,195.0,3.0,Middle East & Africa,CUST1063,Wholesale,REP007,0.07,150,Retail,In Stock,Returned,Poor packaging,Positive,Product Quality
89,Stroller,Baby Products,,260.0,2.0,Not Specified,,Retail,REP009,0.1,200,Not Specified,Not Specified,Not Specified,No Feedback,Negative,No Feedback
90,Fitness Tracker,Electronics,2024-03-11,100.0,4.0,Europe,CUST1087,Online Direct,REP009,0.05,80,Wholesale,Out of Stock,Returned,Will shop again,Positive,Customer Service
91,Car Battery,Automotive,,85.0,1.0,Not Specified,,Retail,REP006,0.08,70,Not Specified,Not Specified,Not Specified,No Feedback,Postive,No Feedback
92,External Hard Drive,Electronics,2023-02-17,115.0,1.0,Middle East & Africa,CUST1085,Wholesale,REP009,0.12,90,Wholesale,Low Stock,Returned,Delays in delivery,Neutral,Delivery Issues
93,Gourmet Coffee Beans,Groceries,2024-01-29,32.0,1.0,Middle East & Africa,CUST1008,Subscription,REP010,0.1,25,Marketplace,Out of Stock,Pending Return,Won't buy again,Positive,Customer Service
94,Cordless Drill,Tools & Home Improvement,2024-05-29,130.0,1.0,Asia Pacific,CUST1089,Online Direct,REP002,0.15,100,Marketplace,Out of Stock,No Return,Perfect fit,Negative,Product Quality
95,Smartwatch,Electronics,2024-07-01,140.0,4.0,Latin America,CUST1022,Retail,REP007,0.05,110,Online Direct,Out of Stock,No Return,Not as described,Neutral,Product Description Accuracy
96,Hardcover Novel,Books & Media,2023-08-29,24.0,4.0,Middle East & Africa,CUST1100,Wholesale,REP008,0.08,20,Wholesale,Out of Stock,Pending Return,Fantastic experience,Neutral,Experience with Purchase
97,VR Headset,Wearables,2023-11-12,260.0,1.0,Middle East & Africa,CUST1068,Retail,REP001,0.1,200,Retail,Out of Stock,No Return,Terrible support,Positive,Customer Service
98,Electric Shaver,Health & Beauty,2023-06-29,65.0,4.0,Middle East & Africa,CUST1016,Online Direct,REP004,0.12,50,Online Direct,Low Stock,Returned,Not worth the money,Negative,Product Quality
99,Ergonomic Chair,Office Supplies,2023-11-26,195.0,3.0,Europe,CUST1065,Retail,REP007,0.07,150,Online Direct,In Stock,Returned,Do not recommend,Positive,Customer Service
100,Baby Monitor,Baby Products,,105.0,3.0,Not Specified,,Subscription,REP004,0.1,80,Not Specified,Not Specified,Not Specified,No Feedback,Negative,No Feedback
101,Smart Refrigerator,Home Appliances,2024-05-15,1040.0,3.0,Latin America,CUST1053,Wholesale,REP007,0.08,800,Retail,In Stock,No Return,Could be better,Positive,Product Quality
102,Fitness Tracker,Wearables,2023-05-25,90.0,1.0,Latin America,CUST1005,Online Direct,REP009,0.2,70,Marketplace,Out of Stock,No Return,I love it,Postive,Experience with Purchase
103,Diamond Necklace,Jewelry,2023-07-31,650.0,3.0,North America,CUST1095,Retail,REP010,0.12,500,Online Direct,Low Stock,Returned,Quick shipping,Neutral,Delivery Issues
104,Tire Set,Automotive,,260.0,3.0,Not Specified,,Online Direct,REP008,0.15,200,Not Specified,Not Specified,Not Specified,No Feedback,Positive,No Feedback
105,Gaming Console,Electronics,2024-03-01,390.0,5.0,Latin America,CUST1099,Subscription,REP005,0.1,300,Online Direct,Low Stock,No Return,Perfect fit,Negative,Product Quality
106,Silk Scarf,Fashion,2023-04-24,50.0,5.0,Middle East & Africa,CUST1019,Retail,REP010,0.07,40,Marketplace,Low Stock,No Return,Exceeds expectations,Neutral,Value for Money
107,Washing Machine,Home Appliances,2023-02-04,520.0,3.0,Latin America,CUST1003,Wholesale,REP001,0.08,400,Wholesale,In Stock,Pending Return,Fast delivery,Neutral,Delivery Issues
108,Running Shoes,Sports & Outdoors,2023-10-07,75.0,3.0,Middle East & Africa,CUST1033,Online Direct,REP006,0.05,60,Wholesale,Out of Stock,Returned,Nice experience,Positive,Experience with Purchase
109,Cotton T-Shirt,Fashion,2023-12-12,20.0,1.0,North America,CUST1022,Retail,REP007,0.12,15,Marketplace,Low Stock,No Return,Damaged on arrival,Negative,Product Quality
110,Electric Guitar,Musical Instruments,2023-03-27,195.0,5.0,Europe,CUST1070,Online Direct,REP010,0.08,150,Marketplace,In Stock,Returned,I love it,Positive,Experience with Purchase
111,DSLR Camera,Electronics,2023-10-23,780.0,1.0,Europe,CUST1100,Wholesale,REP002,0.1,600,Wholesale,In Stock,No Return,Color not as shown,Negative,Product Quality
112,Rowing Machine,Fitness Equipment,2024-08-11,325.0,2.0,Middle East & Africa,CUST1043,Subscription,REP002,0.06,250,Retail,Low Stock,Returned,Great product,Positive,Product Quality
113,Smart Doorbell,Home Security,2024-07-02,85.0,5.0,Asia Pacific,CUST1007,Retail,REP008,0.1,70,Marketplace,Out of Stock,Pending Return,Exceeds expectations,Postive,Value for Money
114,Bluetooth Headphones,Electronics,2024-08-23,50.0,1.0,Europe,CUST1004,Online Direct,REP009,0.12,40,Wholesale,Low Stock,Pending Return,Missing accessories,Neutral,Product Description Accuracy
115,Gaming Laptop,Electronics,2024-03-05,1500.0,3.0,Latin America,CUST1048,Retail,REP004,0.05,1200,Online Direct,Out of Stock,Pending Return,Item as described,Positive,Product Description Accuracy
116,Wi-Fi Router,Electronics,2023-05-12,75.0,5.0,Asia Pacific,CUST1056,Wholesale,REP004,0.15,60,Online Direct,In Stock,Returned,Arrived late,Negative,Delivery Issues
117,Designer Jeans,Fashion,2023-04-20,100.0,2.0,Latin America,CUST1034,Online Direct,REP003,0.07,80,Online Direct,In Stock,No Return,Good value for money,Neutral,Product Quality
118,Hair Dryer,Health & Beauty,2023-09-01,38.0,1.0,Latin America,CUST1054,Retail,REP002,0.08,30,Marketplace,In Stock,No Return,Excellent quality,Neutral,Product Quality
119,Anti-Aging Cream,Health & Beauty,2023-10-23,50.0,5.0,North America,CUST1016,Wholesale,REP006,0.1,40,Online Direct,In Stock,No Return,Could be better,Positive,Product Quality
120,Brake Pads,Automotive Parts,,65.0,5.0,Not Specified,,Online Direct,REP001,0.06,50,Not Specified,Not Specified,Not Specified,No Feedback,Negative,No Feedback
121,Organic Honey,Groceries,2024-06-02,26.0,1.0,Latin America,CUST1098,Retail,REP002,0.12,20,Online Direct,Low Stock,Pending Return,Returning this item,Positive,Experience with Purchase
122,Digital Camera,Electronics,2024-02-21,520.0,3.0,Middle East & Africa,CUST1073,Online Direct,REP003,0.08,400,Online Direct,Out of Stock,Pending Return,Fantastic experience,Negative,Experience with Purchase
123,Camping Tent,Sports & Outdoors,2024-01-15,130.0,4.0,Asia Pacific,CUST1050,Wholesale,REP009,0.1,100,Retail,In Stock,No Return,Great product,Positive,Product Quality
124,LED Lights,Home Décor,2024-06-25,30.0,3.0,North America,CUST1095,Retail,REP005,0.15,25,Wholesale,Out of Stock,No Return,Not as described,Postive,Product Description Accuracy
125,Smart Thermostat,Electronics,2024-08-18,90.0,1.0,North America,CUST1051,Subscription,REP010,0.05,70,Retail,In Stock,Returned,Will return,Neutral,Customer Service
126,Coffee Maker,Home Appliances,2023-02-27,50.0,3.0,Latin America,CUST1014,Online Direct,REP009,0.12,40,Marketplace,In Stock,Returned,Terrible support,Positive,Customer Service
127,Fitness Tracker,Wearables,2024-03-21,90.0,4.0,Latin America,CUST1085,Retail,REP007,0.1,70,Retail,In Stock,Returned,Would buy again,Negative,Value for Money
128,Leather Jacket,Fashion,2023-03-23,130.0,2.0,Latin America,CUST1035,Wholesale,REP007,0.08,100,Retail,In Stock,Pending Return,Will shop again,Neutral,Customer Service
129,Noise-Canceling Headphones,Electronics,2023-08-04,90.0,5.0,Asia Pacific,CUST1035,Online Direct,REP005,0.05,70,Wholesale,Low Stock,No Return,Won't buy again,Neutral,Customer Service
130,Crib,Baby Products,,325.0,4.0,Not Specified,,Retail,REP008,0.1,250,Not Specified,Not Specified,Not Specified,No Feedback,Positive,No Feedback
131,Car Stereo,Automotive,,200.0,4.0,Not Specified,,Subscription,REP010,0.12,150,Not Specified,Not Specified,Not Specified,No Feedback,Negative,No Feedback
132,Smartwatch,Electronics,2023-06-25,145.0,3.0,Latin America,CUST1062,Wholesale,REP002,0.15,110,Retail,In Stock,Pending Return,Returning this item,Positive,Experience with Purchase
133,eBook Reader,Books & Media,2024-01-23,75.0,4.0,Asia Pacific,CUST1027,Online Direct,REP010,0.07,60,Retail,Low Stock,Returned,Will return,Negative,Customer Service
134,Electric Toothbrush,Health & Beauty,2023-03-20,50.0,1.0,Not Specified,CUST1077,Retail,REP001,0.1,40,Marketplace,In Stock,No Return,Fast delivery,Positive,Delivery Issues
135,4K Monitor,Electronics,2023-12-21,390.0,4.0,North America,CUST1008,Subscription,REP006,0.05,300,Wholesale,Out of Stock,Pending Return,Top notch,Postive,Product Quality
136,Yoga Mat,Sports & Outdoors,2023-11-01,32.0,4.0,Asia Pacific,CUST1023,Retail,REP008,0.08,25,Online Direct,Out of Stock,Pending Return,Very satisfied,Neutral,Product Quality
137,Winter Coat,Fashion,2023-12-30,150.0,3.0,Europe,CUST1062,Wholesale,REP004,0.06,120,Marketplace,In Stock,No Return,Delays in delivery,Positive,Delivery Issues
138,Smart Light Bulbs,Electronics,2023-04-01,20.0,1.0,Asia Pacific,CUST1052,Online Direct,REP001,0.12,15,Online Direct,Out of Stock,No Return,Mislabelled,Negative,Product Description Accuracy
139,Robot Vacuum,Home Appliances,2023-03-31,325.0,3.0,Asia Pacific,CUST1052,Subscription,REP004,0.1,250,Marketplace,In Stock,Pending Return,I love it,Neutral,Experience with Purchase
140,Lawn Mower,Tools & Home Improvement,2024-03-23,260.0,3.0,North America,CUST1069,Retail,REP004,0.07,200,Marketplace,Out of Stock,No Return,Color not as shown,Neutral,Product Quality
141,Printer,Office Supplies,2024-01-11,160.0,4.0,Latin America,CUST1100,Wholesale,REP004,0.1,120,Retail,In Stock,Pending Return,Nice experience,Positive,Experience with Purchase
142,Sunglasses,Fashion,2023-09-13,65.0,5.0,Asia Pacific,CUST1074,Online Direct,REP008,0.12,50,Marketplace,In Stock,No Return,Not as described,Negative,Product Description Accuracy
143,Wool Sweater,Fashion,2023-05-15,80.0,3.0,Asia Pacific,CUST1030,Retail,REP004,0.05,60,Retail,Out of Stock,Pending Return,Perfect fit,Positive,Product Quality
144,Body Lotion,Health & Beauty,2023-06-09,32.0,4.0,Asia Pacific,CUST1018,Wholesale,REP008,0.08,25,Retail,In Stock,Returned,Terrible support,Negative,Customer Service
145,Video Doorbell,Electronics,2023-11-15,90.0,3.0,Latin America,CUST1091,Online Direct,REP007,0.1,70,Marketplace,In Stock,No Return,Very fast service,Positive,Experience with Purchase
146,Soundbar,Electronics,2024-08-05,195.0,5.0,Asia Pacific,CUST1083,Subscription,REP001,0.07,150,Online Direct,In Stock,No Return,Do not recommend,Postive,Customer Service
147,Microwave Oven,Home Appliances,2023-03-21,130.0,3.0,Asia Pacific,CUST1015,Retail,REP001,0.06,100,Retail,Out of Stock,Pending Return,Would buy again,Neutral,Value for Money
148,Portable Charger,Electronics,2024-02-19,26.0,4.0,Latin America,CUST1029,Wholesale,REP001,0.08,20,Marketplace,Low Stock,No Return,Nice experience,Positive,Experience with Purchase
149,High Chair,Baby Products,,130.0,5.0,Not Specified,,Online Direct,REP008,0.05,100,Not Specified,Not Specified,Not Specified,No Feedback,Negative,No Feedback
150,Children's Book,Books & Media,2024-02-25,19.0,3.0,North America,CUST1077,Retail,REP003,0.12,15,Retail,Low Stock,No Return,Won't buy again,Neutral,Customer Service
151,Action Camera,Electronics,2023-10-05,260.0,3.0,Asia Pacific,CUST1095,Subscription,REP005,0.1,200,Retail,In Stock,Pending Return,Great product,Neutral,Product Quality
